question,subject,use,possible_answers,correct_answers
"La sensibilité est définie par (V: vrai, F: faux, P: positif, N: négatif) : ",Classification,Test de validation,"['(VP + VN) / (VP + VN + FN + FP)', 'VN / (VN + FP)', 'VP / (VP + FN)']",['VP / (VP + FN)']
"La spécificité est définie par (V: vrai, F: faux, P: positif, N: négatif) : ",Classification,Test de validation,"['(VP + VN) / (VP + VN + FN + FP)', 'VN / (VN + FP)', 'VP / (VP + FN)']",['VN / (VN + FP)']
Le théorème CAP oppose,Systèmes distribués,Test de positionnement,"['Capacité, Vitesse, Distribution', 'Disponibilité, Cohérence, Distribution', 'Cohérence, Adaptabilité, Puissance']","['Disponibilité, Cohérence, Distribution']"
Lequel de ces problème est un problème de classification:,Classification,Test de validation,"['Segmentation clients', 'Estimation du prix d’une oeuvre d’art', 'Labellisation d’une image', 'Calcul de prix optimal', 'Prédiction du départ d’un client', 'Reconnaissance d’objet', 'Prédiction du caractère bénin d’une tumeur', 'Modélisation des flux d’air autour d’un réacteur', 'Génération automatique de mots']","['Estimation du prix d’une oeuvre d’art', 'Labellisation d’une image']"
"Lors de l'étape de Map d'un wordcount appliqué à la phrase ""cette phrase est une phrase"", les valeurs émises sont:",Systèmes distribués,Test de positionnement,"['1, 2, 1, 1', '1, 1, 1, 1, 1, 1', '5, 0, 0, 0, 0']","['1, 1, 1, 1, 1, 1']"
MongoDB et CouchDB sont des bases de données,BDD,Test de positionnement,"['relationnelles', 'orientées objet', 'orientées colonne', 'orientées graphe']",['orientées objet']
OrientDB et Neo4J sont des bases de données,BDD,Test de positionnement,"['relationnelles', 'orientées objet', 'orientées colonne', 'orientées graphe']",['orientées graphe']
Overfitting is,Machine Learning,Total Bootcamp,"['When the model fits too much the training data and don’t generalize enough.', 'When the model takes too much time to train on the data.', ""When the algorithm can't store anymore the results of the fitting process.""]",['When the model fits too much the training data and don’t generalize enough.']
Pig permet,Systèmes distribués,Test de validation,"[""De rendre l'écriture de jobs MapReduce plus simple et plus intuitive"", ""D'accélérer les calculs effectués sur Hadoop"", ""D'orchestrer Hive"", 'Tous ces points']","[""De rendre l'écriture de jobs MapReduce plus simple et plus intuitive""]"
"Pour faciliter la communication entre la machine hôte et un container Docker, on peut utiliser les",Automation,Test de validation,"['Images', 'Networks', 'Volumes', 'Containers']",['Networks']
"Pour faciliter le passage de fichiers entre la machine hôte et un container Docker, on peut utiliser les",Automation,Test de validation,"['Images', 'Networks', 'Volumes', 'Containers']",['Volumes']
"Pour Hive, partitioner consiste à ",Systèmes distribués,Test de validation,"['Découper les tables en block de taille pré-définie', 'Découper les tables par colonnes', ""Découper les tables selon les valeurs d'une variable""]","[""Découper les tables selon les valeurs d'une variable""]"
"Pour indexer des données textuelles, je peux utiliser",BDD,Test de positionnement,"['ElasticSearch', 'Neo4J', 'MySQL']",['ElasticSearch']
Pourquoi utiliser des APIs?,Automation,Test de validation,"[""Pour isoler les services de l'utilisateur final"", 'Pour normaliser les communications entre services', 'Pour permettre une évolution facile des services', 'Tous ces points']",['Tous ces points']
Pourquoi utiliser Docker?,Automation,Test de validation,"['Pour déployer facilement et rapidement des processus', 'Pour isoler des processus de la machine hôte', 'Pour tester des services rapidement', 'Tous ces points']",['Tous ces points']
Que signifie le sigle No-SQL ?,BDD,Test de positionnement,"['Pas seulement SQL', 'Pas de SQL', 'Pas tout SQL']",['Pas seulement SQL']
Quel algorithme est mieux adapté à un jeu de données majoritairement composé de variables qualitatives?,Classification,Test de validation,"['SVM', 'Régression Logistique', 'Arbre de décision']",['Arbre de décision']
Quelle commande permet de lancer un container Docker ?,Automation,Test de validation,"['docker image run nom_de_l_image', 'docker container run nom_de_l_image', 'docker image pull nom_de_l_image', 'docker container pull nom_de_l_image']",['docker container run nom_de_l_image']
Quelle est la différence entre le processing time et le event time ?,Streaming de données,Test de validation,"['L’un correspond au temps de début de calcul alors que l’autre correspond à la durée nécessaire pour le calcul', 'L’un correspond à l’entrée de la donnée dans le système alors que l’autre correspond à la date de création de la donnée', 'Ce sont en fait la même chose']",['L’un correspond à l’entrée de la donnée dans le système alors que l’autre correspond à la date de création de la donnée']
Quelle métrique est utilisée en classification ?,Classification,Test de validation,"['Le F1-score', 'Le RMSE', 'La perplexité']",['Le F1-score']
Quels sont les trois éléments constitutifs de Hadoop ?,Systèmes distribués,Test de positionnement,"['HDFS, YARN et Haddoop MapReduce', 'Hive, LOL et Spark', 'Spark, Hadoop MapReduce et Hive']","['HDFS, YARN et Haddoop MapReduce']"
Regression,Machine Learning,Total Bootcamp,"['Is used when the target we aim to predict is continuous.', 'Is used when the target we aim to predict is discrete.', 'Gives the same results with two points or a thousand.']",['Is used when the target we aim to predict is continuous.']
"Si on fait un parallèle avec la programmation orientée objet, les images de containers Docker sont l'équivalent des",Automation,Test de validation,"['Classes', 'Instances de classes', 'Méthodes', 'Objets']",['Classes']
Spark se différencie de Hadoop par,Systèmes distribués,Test de positionnement,"['son absence de système de stockage', 'ses nombreuses librairies notamment de Machine Learning', ""l'écriture en mémoire plutôt que sur disque lors de la phase de Shuffle"", 'Tous ces points']",['Tous ces points']
Sqoop est utilisé,Systèmes distribués,Test de validation,"['Pour transférer des données depuis des SGDBR vers HDFS et inversement', 'De faire des calculs en temps réel', ""D'automatiser des jobs Map Reduce"", 'Tous ces points']",['Pour transférer des données depuis des SGDBR vers HDFS et inversement']
Supervised learning ...,Machine Learning,Total Bootcamp,"['Is when the data we use to fit the model on is labeled.', 'Is when the algorithm includes steps to check the progression of the computation process.', 'Allows to predict the value or the class of a new element.', 'Allows data partitioning according to the features,distribution density estimation and dimension reduction.']",[]
Un système de messagerie asynchrone permet de décorréler les consommateurs et les producteurs,Streaming de données,Test de positionnement,"['Vrai', 'Faux']",['Vrai']
Unsupervised learning ...,Machine Learning,Total Bootcamp,"['Is when the data we feed to our model is not labeled.', 'Allows to predict the value or the class of a new element.', 'Allows data partitioning according to the features,distribution density estimation and dimension reduction.']",[]
What are the best tools you can use when starting a project?,Data Science,Total Bootcamp,"['Data Visualization.', 'Statistical tests.', 'Expert intuitions.', 'Correlation matrix']",[]
What are the first things you want to do when you start a Data Science project ?,Data Science,Total Bootcamp,"['Define the problem.', 'Choose the model you want to implement.', 'Obtain the data and check if it fits our standard.', 'Ask Paul what to do next.']",[]
What is Machine learning ?,Machine Learning,Total Bootcamp,"['The phenomenon in which an algorithm realizes it is not paid enough and puts itself on a strike.', 'An application of artificial intelligence that provides systems the ability to automatically learn and improve from experience without being explicitly programmed.', 'Exactly what Datascientest offers : a way to learn through machines.', 'When an algorithm is programmed to adapt itself to a given situation.']",['An application of artificial intelligence that provides systems the ability to automatically learn and improve from experience without being explicitly programmed.']
"When building a model, you have to",Data Science,Total Bootcamp,"['Look out for parameters that can be optimized and optimze them.', 'Train it on all the data available.']",['Train it on all the data available.']
"When the dataset is all set and obtained, what do you need to do ?",Data Science,Total Bootcamp,"['Run a model on it and then  do a series of statistical tests on it.', 'Explore it and do a series of statistical tests on it.', 'Pre-process it by cleaning it of missing values or irrelevant data.']",[]
"Your model is all done and working, what's next?",Data Science,Total Bootcamp,"['My project is done !', 'Analyze the results and tune the existing model to fit best the problem defined initially.']",['Analyze the results and tune the existing model to fit best the problem defined initially.']
